"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AD01"	"AD02"	"AD03"	"AD04"	"AD05"	"AD08_01"	"AD10"	"AD12"	"AM01_01"	"AM01_02"	"AM01_03"	"AM01_04"	"AM01_05"	"AM01_18"	"AM01_06"	"AM01_07"	"AM01_08"	"AM01_09"	"AM01_17"	"AM01_14"	"AM01_10"	"AM01_11"	"AM01_12"	"AM01_13"	"AM01_15"	"AM01_16"	"AM02_01"	"AM02_02"	"AM02_03"	"AM02_04"	"AM02_05"	"AM02_06"	"AM02_07"	"AM02_08"	"AM02_09"	"AM02_10"	"AM02_11"	"AM02_12"	"AM02_13"	"AM02_14"	"AM02_15"	"AM02_16"	"AM04_01"	"AM04_02"	"AM04_03"	"AM04_04"	"AM04_05"	"AM04_06"	"AM04_07"	"AM04_08"	"AM04_09"	"AM04_10"	"AM04_11"	"AM04_12"	"AM04_13"	"AM04_14"	"AM04_15"	"AM04_16"	"AM04_17"	"AM04_18"	"AM05_01"	"AM05_02"	"AM05_03"	"AM05_04"	"AM05_05"	"AM05_06"	"AM05_07"	"AM05_08"	"AM05_09"	"AM05_10"	"AM05_11"	"AM05_12"	"AM05_13"	"AM05_14"	"AM05_15"	"AM05_16"	"AM05_17"	"AM05_18"	"M113_01"	"M106_01"	"M105_01"	"M107_01"	"M114_01"	"M115_01"	"M117_01"	"M213_01"	"M206_01"	"M205_01"	"M207_01"	"M214_01"	"M215_01"	"M217_01"	"M313_01"	"M306_01"	"M305_01"	"M307_01"	"M314_01"	"M315_01"	"M317_01"	"M413_01"	"M406_01"	"M405_01"	"M407_01"	"M414_01"	"M415_01"	"M417_01"	"M513_01"	"M506_01"	"M505_01"	"M507_01"	"M514_01"	"M515_01"	"M517_01"	"M613_01"	"M606_01"	"M605_01"	"M607_01"	"M615_01"	"M617_01"	"M618"	"M713_01"	"M706_01"	"M705_01"	"M707_01"	"M714_01"	"M715_01"	"M717_01"	"M813_01"	"M806_01"	"M805_01"	"M807_01"	"M814_01"	"M815_01"	"M817_01"	"M913_01"	"M906_01"	"M905_01"	"M907_01"	"M914_01"	"M915_01"	"M917_01"	"N113_01"	"N106_01"	"N105_01"	"N107_01"	"N114_01"	"N115_01"	"N117_01"	"N213_01"	"N206_01"	"N205_01"	"N207_01"	"N214_01"	"N217_01"	"N218"	"N313_01"	"N306_01"	"N305_01"	"N307_01"	"N314_01"	"N315_01"	"N318_01"	"N317_01"	"N413_01"	"N406_01"	"N405_01"	"N407_01"	"N414_01"	"N415_01"	"N417_01"	"N513_01"	"N506_01"	"N505_01"	"N507_01"	"N514_01"	"N515_01"	"N517_01"	"N613_01"	"N606_01"	"N605_01"	"N607_01"	"N614_01"	"N615_01"	"N617_01"	"N901_01"	"N902_01"	"N903_01"	"N904_01"	"N905_01"	"N906_01"	"N713_01"	"N706_01"	"N705_01"	"N707_01"	"N714_01"	"N715_01"	"N717_01"	"N813_01"	"N806_01"	"N805_01"	"N807_01"	"N814_01"	"N815_01"	"N817_01"	"K101_01"	"K102_01"	"K103_01"	"K105"	"K201_01"	"K202_01"	"K203_01"	"K205"	"K301_01"	"K302_01"	"K303_01"	"K305"	"K401_01"	"K402_01"	"K403_01"	"K405"	"K501_01"	"K502_01"	"K503_01"	"K505"	"K601_01"	"K603_01"	"K605"	"K701_01"	"K702_01"	"K703_01"	"K705"	"K801_01"	"K802_01"	"K803_01"	"K805"	"K901_01"	"K902_01"	"K903_01"	"K905"	"L101_01"	"L102_01"	"L103_01"	"L105"	"L201_01"	"L205"	"L301_01"	"L307_01"	"L302_01"	"L303_01"	"L305"	"L401_01"	"L402_01"	"L403_01"	"L405"	"L501_01"	"L502_01"	"L503_01"	"L505"	"L601_01"	"L602_01"	"L603_01"	"L605"	"L701_01"	"L703_01"	"L705"	"L801_01"	"L802_01"	"L803_01"	"L805"	"L901_01"	"L902_01"	"L903_01"	"L905"	"PD01_01"	"PD02"	"PD03"	"PD04"	"PD05_01"	"PD05_02"	"PD07"	"PD08"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"DEG_MISS"	"DEG_TIME"	"DEGRADE"
102			"empinf"	"interview"	2014-06-14 02:36:55	2	1	1	6	1	3	1	1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	"10"	"8"	"10"	"25"	"10"	"25"	"10"	"15"	"15"	"10"	"15"	"10"	"20"	"8"	"8"	"5"	"10"	"10"																																																																																																																																																																																																												63	107	421																																						591		2014-06-14 02:46:46	F	3	3	0	0	0	0	0
107			"empinf"	"interview"	2014-06-14 04:15:48	2	2	2	6	1	5	1	2																																																																																																																																																																																																																																																																																		44	57																																							101		2014-06-14 04:17:29	F	2	2	0	0	0	7	7
112			"empinf"	"interview"	2014-06-14 08:37:05	2	1	1	9	1	4	1	2	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	8	1	7	6	10	10		6	3	2	1	10	10		6	5	2	1	10	10		6	6	1	1	10	10		6	3	5	1	10	10		6	6	1	2	10		1	8	1	7	6	10	10		8	1	7	6	10	10		9	1	7	5	10	10		15	6	3	1	10	10		10	6	1	1	10		3	8	6	7	1	1	10	6		8	6	7	3	10	10		8	4	7	1	10	10		8	3	7	1	10	10		6	1	7	4	4		5	2	1	1	10	10		5	3	1	1	10	10		2	10	5	2	2	40	0	2	0	10	5	2	2	15	5	2	2	10	5	2	0	6	2	1	5	5	2	1	5	5	2	1	5	5	2	8	20	6	2	112	2	3	20	15	2	2	2	5	5	2	1	5	5	2	1	5	5	2	4	2	2	1	5	2	2	1	5	2	2	27	1	1	1	T	F	2	1	63	81	136	202	39	25	22	26	24	13	15	39	22	14	17	46	33	55	32	26	15	44	45	56	16	15	58	7	6	13	13	54	8	13	27	22	15	15	6	22	1400		2014-06-14 09:00:25	T	40	40	0	0	0	44	44
115			"empinf"	"interview"	2014-06-14 08:43:52	2	2	2	7	1	3	1	1	T	T	T	T	T	F	T	F	F	T	T	T	T	T	T	T	T	T	1	1	1	1	1	2	3	3	1	1	1	1	1	1	1	1	2	2	3	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	"5"	"3"	"3"	"10"	"10"	"20"	"15"	"20"	"20"	"10"	"1"	"2"	"5"	"5"	"5"	"7"	"2"	"2"	60	4	6	2	10	9		12	2	6	6	9	10		18	5	6	3	8	7	2	22	4	7	3	8	10		15	4	2	6	3	7									22	5	4	1	10	9																10	4	6	3	8	8		2	2	7	6	10		2	3	1	7	7	3	10	9		6	5	1	5	2	9		8	1	7	6	10	9		3	1	7	6	2	10		5	2	7	4	6		5	3	6	6	8	9		5	2	6	5	9	10		20	12	40	2	5	12	3	2	8	16	3	2	12	12	3	2	5	8	2	2				12	60	8	2									6	12	4	2	16	2	3	4	8	1	2	3	18	6	2	5	10	2	2	4	9	1	2	3	5	2	3	5	3	2	4	7	4	2	29	1	1	1	T	F	3	2	105	85	350	144	124	59	41	66	61	31			51	46	35	68	45	100	46		33	91	67	43	47	47	54	27			31	25	28	36	47	22	93		24	79	2112		2014-06-14 09:21:25	T	40	40	0	0	0	2	2
120			"empinf"	"interview"	2014-06-14 09:48:40	1	1	1	14	1	5	1	1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	2	2	2	2	2	2	2	2	2	"10"	"10"	"15"	"15"	"15"	"20"	"15"	"25"	"25"	"25"	"15"	"15"	"10"	"10"	"15"	"10"	"10"	"10"																																																																																																																																																																																																												16	79	254																																						349		2014-06-14 09:54:29	F	3	3	0	0	0	16	16
121			"empinf"	"interview"	2014-06-14 10:02:49	2	2	2	3	1	5	1	1	T	T	F	F	F	F	T	F	F	T	F	F	T	T	T	F	T	F	1	1	3			1			1	1	1	1			3		2	2				2			2	2	2	2			1				"SS13"	"SS14"					"WS13/14"			"SS14"			"WS13/14"	"SS14"	"WS13/14"		"WS13/14"		14	2	7	1	8	9		12	4	6	1	1	7																														8	4	1	7	1	10																14	5	7	4	9	9																	7	2	1	5	2	9		9	2	3	1	7	10		11	5	5	1	9	7								55	2	6	4	4	3									8	12	3	1	10	20	2	1																8	20	1	2									10	30	4	1								7	10	1	2	6	20	3	1	10	20	2	2				45	0	10	2					25	2	1	1	T	F	3	2	93	208	285	109	95	45				62			58	65	119	99					369		68	48				54			49	117	102	52					55		1406		2014-06-14 10:38:41	T	39	39	16	9	28	0	29
122			"empinf"	"interview"	2014-06-14 10:04:06	2	2	2	10	1	2	1	1																																																																																																																																																																																																																																																																																		20	38																																							58		2014-06-14 10:05:04	F	2	2	0	0	0	35	35
124			"empinf"	"interview"	2014-06-14 10:15:54	2	1	1	4	1	5	1	1	T	T	T	F	F	F	T	T	T	T	F	F	T	T	T	F	F	F	2	1	1	1		1	2	1	1	1	1	1					2	2	2			2	2	2	2	2	2	2							"15"	"12"	"12"				"15"	"15"	"15"	"10"			"8"	"8"	"8"				15	5	2	1	3	10		12	5	5	1	3	10		12	5	5	2	10	10																							13	6	2	1	10	10		12	5	3	1	10	10		13	5	1	2	10	10		11	5	1	1	9	10																	10	3	4	4	8	10		12	4	5	1	10	10		10	3	4	2	8	10																																																																																																			10	70	247	66	50	47	30			40	36	28	40	31	34																										729		2014-06-14 10:28:05	F	15	15	14	8	25	15	41
125			"empinf"	"interview"	2014-06-14 10:22:03	X-9	X-9	X-9	X-9	X-9		X-9	X-9																																																																																																																																																																																																																																																																																		6	17																																							23		2014-06-14 10:22:26	F	2	2	100	100	303	181	484
127			"empinf"	"interview"	2014-06-14 10:28:07	2	2	1	5	1	4	1	2	T	T	F	F	F	F	T	T	T	T	F	F	T	T	T	T	T	T	1	2	3	3	3	1	2	1	1	2	1	2	1	3	1	1	2	4	1	1	1	2	3	2	2	3	2	2	2	1	2	2	1	1	"30"	"30"					"30"	"30"	"35"	"30"			"35"	"30"	"35"	"30"	"35"	"30"	9	3	6	2	9	9		9	4	6	2	6	8	7																													8	5	2	3	9	8		8	5	2	3	9	8	4	8	5	2	3	8	8		8	4	6	2	9	9																	7	5	5	3	7	8	7	7	4	6	1	3	7		8	4	6	2	6	9		8	5	6	1	7		8	2	6	2	10	10		8	4	6	2	9	9		5	16	4	2	5	16	4	2																5	16	4	2	5	16	4	2	5	16	4	2	5	15	3	2								5	20	3	2	3	10	2	2	5	12	3	2	4	4	2	5	8	3	2	5	12	4	2	27	2	1	1	T	F	3	1	87	119	376	140	85	971				93	227	58	53	34	36	50	65				36	103	25	23				14	16	34	25	35	28	36	40				23	49	1770		2014-06-14 11:16:08	T	40	40	3	1	4	6	10
